multiplier
0.7274
0.7156
0.7038
0.6962
0.6886
0.6756
0.6685
0.6611
0.6505
0.6414
0.6328
0.6296
0.6238
0.6136
0.6141
0.6022
0.6016
0.5944
0.587
0.5897
0.5877
0.62
0.6595
0.6948
0.7427
0.7961
0.8349
0.8662
0.8794
0.8958
0.8919
0.9136
0.9536
0.8617
0.792
0.7656
0.7962
0.831
0.7789
0.6291
0.6274
0.579
0.5847
0.5889
0.5618
0.5925
0.4894
0.3693
0.3506
0.3412
0.3726
0.3888
0.3248
0.3192
0.2868
0.2908
0.2498
0.3162
0.2293
0.4079
0.3104
0.1725
0.2111
0.3469
0.411
0.4485
0.4792
0.5377
0.5528
0.6002
0.6337
0.6728
0.7036
0.7533
0.8065
0.8796
0.9834
1.0579
1.084
1.0898
1.0895
1.0773
1.0672
1.0545
1.0556
1.0286
1.0074
0.993
0.971
0.9403
0.913
0.8791
0.845
0.8186
0.7886
0.7647
