multiplier
0.3464
0.3346
0.3223
0.3069
0.2896
0.2903
0.2915
0.2932
0.2955
0.2949
0.2915
0.293
0.2939
0.2898
0.2863
0.2849
0.2799
0.2658
0.2564
0.2512
0.2485
0.2647
0.2789
0.294
0.3099
0.342
0.3786
0.4108
0.4302
0.4937
0.5377
0.5553
0.5406
0.516
0.5284
0.624
0.6751
0.7236
0.7267
0.7039
0.7832
0.6938
0.6
0.4657
0.4801
0.4194
0.3396
0.3645
0.4529
0.5814
0.6521
0.6324
0.4758
0.3578
0.2438
0.2662
0.4058
0.5434
0.3585
0.3727
0.2962
0.3474
0.4186
0.4266
0.3997
0.4836
0.5123
0.4744
0.4524
0.4509
0.4356
0.4249
0.4191
0.4214
0.4123
0.4111
0.4089
0.4215
0.4139
0.3954
0.3708
0.3693
0.366
0.3648
0.3646
0.3655
0.3693
0.371
0.3752
0.378
0.3776
0.3788
0.3783
0.3656
0.3597
0.3549
