multiplier
0.6258
0.6113
0.5931
0.579
0.5741
0.5696
0.5633
0.5587
0.544
0.5317
0.524
0.5159
0.5157
0.521
0.5217
0.5239
0.5289
0.5746
0.6167
0.6601
0.7042
0.7539
0.8058
0.8617
0.929
0.929
0.9295
0.8811
0.7966
0.6878
0.6077
0.5246
0.4483
0.3782
0.31
0.2522
0.1986
0.1538
0.1173
0.0925
0.0954
0.0788
0.0597
0.0738
0.1297
0.1721
0.2417
0.1879
0.0682
0.0698
0.0713
0.077
0.075
0.0764
0.0785
0.0806
0.0826
0.0839
0.0852
0.0864
0.0877
0.0868
0.086
0.0853
0.0895
0.2115
0.2023
0.2275
0.2765
0.3563
0.4394
0.526
0.5806
0.643
0.7443
0.8442
0.9286
1.0782
1.1687
1.1941
1.2011
1.1777
1.1502
1.1253
1.0901
1.0585
1.0194
0.9767
0.9216
0.888
0.8505
0.7982
0.7446
0.7178
0.6839
0.6565
