multiplier
0.4289
0.4151
0.404
0.3941
0.3867
0.3771
0.3722
0.368
0.3633
0.3626
0.3616
0.357
0.3551
0.3556
0.3572
0.3575
0.3586
0.3969
0.4337
0.4704
0.5149
0.6004
0.7033
0.8143
0.9282
0.9917
1.0516
1.0936
1.1131
1.0832
1.0499
0.9979
0.939
0.9193
0.8626
0.8395
0.7869
0.8721
0.9446
0.8449
0.8848
0.8825
0.8476
0.7651
0.8335
0.8321
0.7748
0.6865
0.684
0.6698
0.7093
0.6895
0.6775
0.6416
0.6227
0.5916
0.5661
0.5434
0.4899
0.4537
0.4283
0.4696
0.4735
0.3624
0.3839
0.3608
0.4127
0.4085
0.4156
0.5213
0.6124
0.6525
0.7119
0.7579
0.837
0.9186
1.0092
1.0682
1.0776
1.0542
1.0355
1.0106
0.9697
0.9445
0.9007
0.8584
0.8144
0.7598
0.7019
0.6561
0.6173
0.5713
0.5315
0.5076
0.4797
0.4649
