multiplier
0.2366
0.2283
0.2218
0.2141
0.2083
0.2093
0.2102
0.2107
0.2126
0.2252
0.2378
0.251
0.2622
0.3296
0.3887
0.4369
0.4817
0.5649
0.6318
0.6818
0.728
0.7764
0.8366
0.9064
0.9677
1.0426
1.0949
1.139
1.1509
1.1531
1.1619
1.1753
1.1921
1.1338
1.0646
0.9922
0.9014
0.848
0.7634
0.6833
0.5929
0.5478
0.502
0.4504
0.4085
0.3834
0.3613
0.3405
0.3223
0.3126
0.292
0.2799
0.2715
0.2713
0.2729
0.2711
0.2559
0.2944
0.3251
0.3511
0.3816
0.3885
0.4018
0.4143
0.4477
0.4629
0.4771
0.4887
0.4752
0.4545
0.4415
0.4304
0.4053
0.3894
0.3732
0.3549
0.3623
0.4053
0.3891
0.3507
0.3083
0.3005
0.2927
0.2827
0.2727
0.2729
0.2724
0.2702
0.2667
0.2617
0.2555
0.2498
0.2426
0.2406
0.24
0.2411
