date,status,converged_steps,min_voltage_pu,max_voltage_pu,voltage_violations,F06_mae_mw,F06_correlation,F07_mae_mw,F07_correlation,F08_mae_mw,F08_correlation,F09_mae_mw,F09_correlation,F10_mae_mw,F10_correlation,F11_mae_mw,F11_correlation,F12_mae_mw,F12_correlation,system_mae_mw,system_correlation
2025-05-01,success,96,0.7772656848632539,1.021644568612917,9102,0.6542886990206924,0.9863538317132369,0.8901943276481771,0.9454524533016896,0.7390883202494283,0.9728999829956081,0.9156406886719196,0.9571489309000237,3.524696223307363,0.9051838387504365,1.511057981474882,0.7815393219677137,3.475001743872732,0.9931942349441806,6.400219777094732,0.9471351509115462
2025-05-02,success,96,0.7804607643105325,1.0452911819271256,14376,0.6786258414300554,0.9836021564258189,0.599888419695759,0.9892000163181685,0.46983601623795357,0.9917337309119811,1.215806623205671,0.9671952771927872,1.574974552269902,0.9805139532765965,1.0700614604147192,0.8380609569581722,3.724982828994965,0.9921744786995588,6.7593547579644,0.986205659358988
2025-05-03,success,96,0.7898037708843719,1.0703124030338425,13068,0.6959878062414179,0.9834961631499549,0.558997513575813,0.9888364444884639,0.44531758004858985,0.9933585679619311,1.0993745349568587,0.9594266856670046,1.4502164178174688,0.9869029009213008,1.8318916456789145,0.7460449257832418,4.002485434991322,0.986615621786193,5.599852310111749,0.9874361128168778
2025-05-04,success,96,0.765591106634251,1.0124253181573557,14265,0.7796319474985735,0.9874069104808727,0.5807965391091576,0.9901550243982722,0.543818911297916,0.9947949496614095,1.30033686109952,0.9640674508104964,1.6662007327506623,0.9829213390302184,1.027828503714796,0.8973421231677022,3.8076592815472456,0.9941833681709608,6.905183183296286,0.9879285160036576
2025-05-05,success,96,0.7732774515646001,1.0542347148114888,12966,0.5979789718344717,0.9740818429953287,0.4905109229236226,0.978666459486372,0.3292533496532006,0.993980036988531,0.8486880112124149,0.9743569802582115,1.2621761846282786,0.9916931763470532,1.0248350452103754,0.8873003549695603,3.7426002597723684,0.9933716938550711,6.0663167810361625,0.9861972093048075
2025-05-06,success,96,0.7749741529923835,1.0034118156406822,14490,0.7057790003261889,0.986024285893304,0.5804531352478949,0.9888725294688752,0.48377014487874115,0.9939502218687373,1.1159622269702378,0.9672380881703068,1.3262411565612704,0.9862322763331031,1.8692835078705659,0.511903151012689,3.50310010890267,0.9954764901029958,5.050830521887116,0.9892763035363448
2025-05-07,success,96,0.7805906643056105,1.0685689708526733,15246,0.6501506792381119,0.9849988052059051,0.5382297649664785,0.9892281348914603,0.48990099835522305,0.9904071811700377,1.0837415856737935,0.9658312645475261,1.4829501991635696,0.9826474956808884,2.003566173415678,0.6972801262386825,3.769785668123385,0.9961029415540832,5.320575731474774,0.9769995180390744
2025-05-08,success,96,0.7901311185132728,1.0490989241686846,16497,0.6915575565298221,0.9311710916060734,0.552941639265302,0.9603365582255696,0.46790973815968756,0.9797863941598606,0.6548226048965884,0.9834734359461024,1.2231412414100677,0.9732735183476189,0.9665493801013403,0.9039717935124458,3.894955226687631,0.9859620390958608,6.515658648841272,0.9713963059097809
2025-05-09,success,96,0.7879663500267787,1.049702036865115,15603,0.5796942109812947,0.9836032088039878,0.44156634408883016,0.988156554371403,0.3657280756670401,0.9929494438418037,0.938879942240806,0.9656431617773281,1.0228851859222405,0.9961614133794348,0.8679377191366331,0.9534175224848053,3.746353617096607,0.9952046587247556,6.525996714430506,0.9917045541551871
2025-05-10,success,96,0.7560738899128537,1.0643373988617157,7806,0.4591228383059867,0.9887534111136485,0.37599763684710863,0.9947725430470092,0.2669292855980555,0.9979129945349835,0.5695556224914394,0.9962039995396962,1.0653810324713002,0.9864955089295186,0.6842845558840327,0.9072036903958555,3.6585529626980446,0.9942663678638273,4.818089857623729,0.991437092546292
2025-05-11,success,96,0.8080268133763009,1.076734838662577,6840,0.4277394124928287,0.9932688650796927,0.3682853011356392,0.9952459971578987,0.2838213078990111,0.9987526431500288,1.2610821884867598,0.9524725672657697,1.5469951993739062,0.9835044296651178,5.731975054829389,0.862197355929567,3.9415532921844827,0.9948925473037773,6.382642108738524,0.9806651138611417
2025-05-12,success,96,0.7986551301532371,1.0560454305852092,8931,0.617614853980319,0.9859600922034432,0.5145014496834635,0.9908649342078628,0.39447752448905266,0.9929567235812539,1.1090917267501172,0.9592913349065489,0.9139696792885712,0.9900283311982239,7.166981747387454,0.5283579245456139,3.871918365755968,0.99577142484637,3.2724182702036075,0.9708469504617229
2025-05-13,success,96,0.797997425797408,1.049535425804566,8226,0.6005204128943721,0.9912116391822381,0.4484079486510611,0.9930801955789264,0.3365871268241738,0.9971942818929435,0.8038248519322877,0.9737038944061185,1.1106776532768492,0.9882963150812872,7.16824622555443,0.7524435405944426,3.85439061740398,0.996500168853169,3.646790531957369,0.982660716836978
2025-05-14,success,96,0.7873605291510217,1.0740427498644474,9750,0.36638292974552117,0.9904405102990447,0.3179660419865884,0.9932266534482552,0.27223505989218455,0.9966146436506845,0.9872250797146193,0.9597571137740355,1.4402868891750837,0.9863998655902508,3.741271168000529,0.8354913279020276,4.220562811257452,0.9933784120883526,5.073145654150658,0.9627713333056144
2025-05-15,success,96,0.7909744061281638,1.0532004719748076,13578,0.4787375035622804,0.9887158374288125,0.382369564652104,0.9912691655687819,0.3282225332352921,0.9916716076732446,0.6500907490283584,0.9843824922389253,1.5665415810796133,0.9700740176289968,2.687006000967245,0.8938629279190027,4.099840516923238,0.9930242233268134,4.695642328498293,0.9703790893379897
