Timestamp,WindSpeed_ms,WindPower_kW,WindPower_pu
2025-08-05 14:00:00,7.16,1596.6748137594138,0.0798337406879707
2025-08-05 14:15:00,7.1975,1646.2575,0.082312875
2025-08-05 14:30:00,7.234999999999999,1696.856189700793,0.08484280948503965
2025-08-05 14:45:00,7.2725,1748.4811871565237,0.08742405935782618
2025-08-05 15:00:00,7.31,1801.1427966619167,0.09005713983309584
2025-08-05 15:15:00,7.385,1909.6170690006104,0.09548085345003052
2025-08-05 15:30:00,7.46,2022.3614410746998,0.10111807205373499
2025-08-05 15:45:00,7.535,2139.4583472420113,0.10697291736210057
2025-08-05 16:00:00,7.61,2260.990221860371,0.11304951109301856
2025-08-05 16:15:00,7.7175,2443.0845221860377,0.12215422610930189
2025-08-05 16:30:00,7.824999999999999,2634.702320374516,0.1317351160187258
2025-08-05 16:45:00,7.932499999999999,2836.0863611846103,0.14180431805923052
2025-08-05 17:00:00,8.04,3047.479389375126,0.1523739694687563
2025-08-05 17:15:00,8.1075,3185.4386866476684,0.15927193433238343
2025-08-05 17:30:00,8.175,3327.500000000001,0.16637500000000005
2025-08-05 17:45:00,8.2425,3473.7234240789726,0.17368617120394864
2025-08-05 18:00:00,8.31,3624.169053531448,0.1812084526765724
2025-08-05 18:15:00,8.395,3819.718050071238,0.1909859025035619
2025-08-05 18:30:00,8.48,4022.1776348463272,0.20110888174231636
2025-08-05 18:45:00,8.565000000000001,4231.66780785671,0.2115833903928355
2025-08-05 19:00:00,8.65,4448.3085691023825,0.22241542845511914
2025-08-05 19:15:00,8.715,4618.874443313657,0.23094372216568285
2025-08-05 19:30:00,8.780000000000001,4793.745638102995,0.23968728190514976
2025-08-05 19:45:00,8.845,4972.975815184207,0.24864879075921034
2025-08-05 20:00:00,8.91,5156.618636271118,0.2578309318135559
2025-08-05 20:15:00,8.89,5099.639943008347,0.2549819971504173
2025-08-05 20:30:00,8.870000000000001,5043.082532057808,0.2521541266028904
2025-08-05 20:45:00,8.85,4986.944840219825,0.24934724201099126
2025-08-05 21:00:00,8.83,4931.225304294729,0.24656126521473642
2025-08-05 21:15:00,8.7775,4786.939563912069,0.23934697819560347
2025-08-05 21:30:00,8.725,4645.496132709137,0.23227480663545685
2025-08-05 21:45:00,8.6725,4506.866735701198,0.2253433367850599
2025-08-05 22:00:00,8.62,4371.0230979035205,0.21855115489517601
2025-08-05 22:15:00,8.594999999999999,4307.306570323628,0.2153653285161814
2025-08-05 22:30:00,8.57,4244.212269489112,0.2122106134744556
2025-08-05 22:45:00,8.545,4181.737142275595,0.20908685711377975
2025-08-05 23:00:00,8.52,4119.878135558722,0.20599390677793608
2025-08-05 23:15:00,8.385,3796.3559250966823,0.1898177962548341
2025-08-05 23:30:00,8.25,3490.2300020354164,0.17451150010177083
2025-08-05 23:45:00,8.115,3201.019609200082,0.1600509804600041
2025-08-06 00:00:00,7.98,2928.2439894158365,0.14641219947079182
2025-08-06 00:15:00,7.775,2544.3776714838186,0.12721888357419092
2025-08-06 00:30:00,7.57,2195.6162996132716,0.10978081498066358
2025-08-06 00:45:00,7.365,1880.2764787299004,0.09401382393649502
2025-08-06 01:00:00,7.16,1596.6748137594138,0.0798337406879707
2025-08-06 01:15:00,6.9375,1322.821786586607,0.06614108932933035
2025-08-06 01:30:00,6.715,1082.2214817830245,0.05411107408915122
2025-08-06 01:45:00,6.4925,872.7215413189497,0.043636077065947486
2025-08-06 02:00:00,6.27,692.1696071646647,0.03460848035823324
2025-08-06 02:15:00,6.0775,557.6596738245471,0.027882983691227353
2025-08-06 02:30:00,5.885,441.81287604315077,0.02209064380215754
2025-08-06 02:45:00,5.6925,343.2353617952371,0.017161768089761855
2025-08-06 03:00:00,5.5,260.5332790555669,0.013026663952778343
2025-08-06 03:15:00,5.365,211.2563281090984,0.01056281640545492
2025-08-06 03:30:00,5.23,168.62094850396917,0.008431047425198459
2025-08-06 03:45:00,5.095,132.1463830653368,0.006607319153266841
2025-08-06 04:00:00,4.96,101.35187461835943,0.0050675937309179716
2025-08-06 04:15:00,4.89,87.46164054549149,0.0043730820272745745
2025-08-06 04:30:00,4.82,74.9022755953593,0.003745113779767965
2025-08-06 04:45:00,4.75,63.60675758192551,0.0031803378790962755
2025-08-06 05:00:00,4.68,53.508064319153235,0.0026754032159576617
2025-08-06 05:15:00,4.6,43.34622430286989,0.0021673112151434945
2025-08-06 05:30:00,4.52,34.55999999999996,0.001727999999999998
2025-08-06 05:45:00,4.44,27.04934663138615,0.0013524673315693076
2025-08-06 06:00:00,4.36,20.714219417870975,0.0010357109708935487
2025-08-06 06:15:00,4.29,16.056633421534702,0.0008028316710767351
2025-08-06 06:30:00,4.220000000000001,12.155440667616562,0.0006077720333808281
2025-08-06 06:45:00,4.15,8.943618970079399,0.00044718094850396996
2025-08-06 07:00:00,4.08,6.354146142886221,0.00031770730714431104
2025-08-06 07:15:00,4.0425,5.199630063097914,0.00025998150315489574
2025-08-06 07:30:00,4.005,4.1941827803785845,0.00020970913901892922
2025-08-06 07:45:00,3.9675000000000002,3.3275000000000055,0.00016637500000000026
2025-08-06 08:00:00,3.93,2.589277427233872,0.0001294638713616936
2025-08-06 08:15:00,3.9425,2.8217143293303466,0.00014108571646651732
2025-08-06 08:30:00,3.955,3.0676613067372287,0.00015338306533686143
2025-08-06 08:45:00,3.9675000000000002,3.3275000000000055,0.00016637500000000026
2025-08-06 09:00:00,3.98,3.6016120496641553,0.00018008060248320777
2025-08-06 09:15:00,3.995,3.9499246895990257,0.0001974962344799513
2025-08-06 09:30:00,4.01,4.319999999999995,0.00021599999999999975
2025-08-06 09:45:00,4.025,4.712497455729707,0.00023562487278648537
2025-08-06 10:00:00,4.04,5.128076531650724,0.00025640382658253624
2025-08-06 10:15:00,4.0075,4.2567814980663625,0.00021283907490331813
2025-08-06 10:30:00,3.975,3.490230002035418,0.0001745115001017709
2025-08-06 10:45:00,3.9425,2.8217143293303466,0.00014108571646651732
2025-08-06 11:00:00,3.91,2.244526765723593,0.00011222633828617965
2025-08-06 11:15:00,3.8200000000000003,1.0671443110116046,5.335721555058023e-05
2025-08-06 11:30:00,3.73,0.3962385507836352,1.981192753918176e-05
2025-08-06 11:45:00,3.6399999999999997,0.08936291471605882,4.4681457358029415e-06
2025-08-06 12:00:00,3.55,0.004070832485243189,2.0354162426215947e-07
2025-08-06 12:15:00,3.4299999999999997,0.0,0.0
2025-08-06 12:30:00,3.3099999999999996,0.0,0.0
2025-08-06 12:45:00,3.19,0.0,0.0
2025-08-06 13:00:00,3.07,0.0,0.0
2025-08-06 13:15:00,3.0825,0.0,0.0
2025-08-06 13:30:00,3.0949999999999998,0.0,0.0
2025-08-06 13:45:00,3.1075,0.0,0.0
2025-08-06 14:00:00,3.12,0.0,0.0
2025-08-06 14:15:00,3.3,0.0,0.0
2025-08-06 14:30:00,3.48,0.0,0.0
2025-08-06 14:45:00,3.66,0.13339303887645057,6.669651943822529e-06
2025-08-06 15:00:00,3.84,1.279999999999998,6.39999999999999e-05
2025-08-06 15:15:00,4.095,6.85999999999999,0.0003429999999999995
2025-08-06 15:30:00,4.35,19.99999999999998,0.000999999999999999
2025-08-06 15:45:00,4.605,43.94000000000006,0.002197000000000003
2025-08-06 16:00:00,4.86,81.92000000000004,0.004096000000000002
2025-08-06 16:15:00,5.1425,144.30764960309384,0.007215382480154691
2025-08-06 16:30:00,5.425000000000001,232.30867087319382,0.011615433543659692
2025-08-06 16:45:00,5.7075000000000005,350.3284077956444,0.01751642038978222
2025-08-06 17:00:00,5.99,502.7722043557909,0.025138610217789546
2025-08-06 17:15:00,6.3225,732.2764548137592,0.03661382274068796
2025-08-06 17:30:00,6.655,1022.7542886220235,0.051137714431101176
2025-08-06 17:45:00,6.987500000000001,1381.388599124772,0.0690694299562386
2025-08-06 18:00:00,7.32,1815.3622796661923,0.09076811398330961
2025-08-06 18:15:00,7.5375,2143.4374999999995,0.10717187499999997
2025-08-06 18:30:00,7.755,2508.833914105435,0.12544169570527175
2025-08-06 18:45:00,7.9725,2913.562013535519,0.14567810067677595
2025-08-06 19:00:00,8.19,3359.6322898432727,0.16798161449216364
2025-08-06 19:15:00,8.3,3601.6120496641583,0.18008060248320792
2025-08-06 19:30:00,8.41,3854.9406391207,0.192747031956035
2025-08-06 19:45:00,8.52,4119.878135558722,0.20599390677793608
2025-08-06 20:00:00,8.63,4396.684616324041,0.21983423081620204
2025-08-06 20:15:00,8.64,4422.446374923673,0.22112231874618365
2025-08-06 20:30:00,8.65,4448.3085691023825,0.22241542845511914
2025-08-06 20:45:00,8.66,4474.271394260126,0.2237135697130063
2025-08-06 21:00:00,8.67,4500.335045796866,0.2250167522898433
2025-08-06 21:15:00,8.61,4345.46162426216,0.21727308121310798
2025-08-06 21:30:00,8.55,4194.18278037859,0.2097091390189295
2025-08-06 21:45:00,8.49,4046.4563077549356,0.20232281538774677
2025-08-06 22:00:00,8.43,3902.239999999999,0.19511199999999995
2025-08-06 22:15:00,8.35,3715.338896804396,0.1857669448402198
2025-08-06 22:30:00,8.27,3534.503008345206,0.1767251504172603
2025-08-06 22:45:00,8.19,3359.6322898432727,0.16798161449216364
2025-08-06 23:00:00,8.11,3190.6266965194363,0.15953133482597182
2025-08-06 23:15:00,8.0075,2982.4998101974347,0.14912499050987174
2025-08-06 23:30:00,7.904999999999999,2783.6264644819857,0.1391813232240993
2025-08-06 23:45:00,7.8025,2593.796234988806,0.1296898117494403
2025-08-07 00:00:00,7.7,2412.798697333605,0.12063993486668026
2025-08-07 00:15:00,7.6325,2298.326927030328,0.1149163463515164
2025-08-07 00:30:00,7.5649999999999995,2187.5342845511896,0.10937671422755947
2025-08-07 00:45:00,7.4975,2080.3606752493374,0.10401803376246688
2025-08-07 01:00:00,7.43,1976.7460044779157,0.09883730022389578
2025-08-07 01:15:00,7.2749999999999995,1751.9595969875832,0.08759797984937916
2025-08-07 01:30:00,7.119999999999999,1544.894866680235,0.07724474333401175
